"Monat";"Originalwert";"Kalender- und saisonbereinigt (X13 JDemetra+)"
"2012-01-01 01:00:00";81,8;100,2
"2012-02-01 01:00:00";83,3;99,4
"2012-03-01 01:00:00";95,4;101,1
"2012-04-01 02:00:00";96,3;99,3
"2012-05-01 02:00:00";108,5;101,2
"2012-06-01 02:00:00";105,4;99,1
"2012-07-01 02:00:00";107,6;98,8
"2012-08-01 02:00:00";108,8;100,2
"2012-09-01 02:00:00";111,9;100,8
"2012-10-01 02:00:00";105,4;98,7
"2012-11-01 01:00:00";94,4;99,9
"2012-12-01 01:00:00";101,6;100,1
"2013-01-01 01:00:00";80,3;98,8
"2013-02-01 01:00:00";79,9;97,5
"2013-03-01 01:00:00";92,3;98,2
"2013-04-01 02:00:00";95,4;98,4
"2013-05-01 02:00:00";103,6;96,2
"2013-06-01 02:00:00";104,6;98,9
"2013-07-01 02:00:00";107,8;98,9
"2013-08-01 02:00:00";108,6;99
"2013-09-01 02:00:00";109,6;98,8
"2013-10-01 02:00:00";106,1;99,7
"2013-11-01 01:00:00";93,9;98,9
"2013-12-01 01:00:00";99,2;98,4
"2014-01-01 01:00:00";81,2;99,4
"2014-02-01 01:00:00";81;98,9
"2014-03-01 01:00:00";92,6;98,7
"2014-04-01 02:00:00";93,4;97,2
"2014-05-01 02:00:00";107,5;99,1
"2014-06-01 02:00:00";103,7;98,1
"2014-07-01 02:00:00";107,6;98,8
"2014-08-01 02:00:00";109,9;100,4
"2014-09-01 02:00:00";111;100,1
"2014-10-01 02:00:00";107,4;100,5
"2014-11-01 01:00:00";95,3;101
"2014-12-01 01:00:00";101;100,3
"2015-01-01 01:00:00";81,4;98,6
"2015-02-01 01:00:00";81,5;99,5
"2015-03-01 01:00:00";91,4;98,1
"2015-04-01 02:00:00";94,8;98,4
"2015-05-01 02:00:00";107,2;99,4
"2015-06-01 02:00:00";107,3;101,3
"2015-07-01 02:00:00";110,4;100,7
"2015-08-01 02:00:00";111,3;101,8
"2015-09-01 02:00:00";110,1;100
"2015-10-01 02:00:00";107,7;100
"2015-11-01 01:00:00";94,8;100,6
"2015-12-01 01:00:00";102,1;101,5
"2016-01-01 01:00:00";82,1;99,7
"2016-02-01 01:00:00";83,8;99,4
"2016-03-01 01:00:00";92,9;100,2
"2016-04-01 02:00:00";98,8;101,2
"2016-05-01 02:00:00";106,2;99,5
"2016-06-01 02:00:00";105,9;100,4
"2016-07-01 02:00:00";112,1;101,6
"2016-08-01 02:00:00";109,5;101,1
"2016-09-01 02:00:00";114,9;103,3
"2016-10-01 02:00:00";107,8;100,5
"2016-11-01 01:00:00";93,9;100,3
"2016-12-01 01:00:00";102;99,9
"2017-01-01 01:00:00";82,6;101,1
"2017-02-01 01:00:00";83,3;101,6
"2017-03-01 01:00:00";97,5;104,5
"2017-04-01 02:00:00";99,2;102,3
"2017-05-01 02:00:00";110,1;103,6
"2017-06-01 02:00:00";109,2;102,5
"2017-07-01 02:00:00";113;102,5
"2017-08-01 02:00:00";109,5;101,4
"2017-09-01 02:00:00";114,5;102,4
"2017-10-01 02:00:00";109;102,4
"2017-11-01 01:00:00";95,6;101,8
"2017-12-01 01:00:00";105,1;103,3
"2018-01-01 01:00:00";85,3;104,6
"2018-02-01 01:00:00";84,2;102,6
"2018-03-01 01:00:00";96,1;102
"2018-04-01 02:00:00";102,5;105,8
"2018-05-01 02:00:00";108,4;102,4
"2018-06-01 02:00:00";111;103,5
"2018-07-01 02:00:00";113,2;103,4
"2018-08-01 02:00:00";112,1;103,2
"2018-09-01 02:00:00";115,9;104,5
"2018-10-01 02:00:00";110;103,7
"2018-11-01 01:00:00";99,8;105,3
"2018-12-01 01:00:00";106,5;104,8
"2019-01-01 01:00:00";86;105,6
"2019-02-01 01:00:00";88,2;107,5
"2019-03-01 01:00:00";99,8;106,2
"2019-04-01 02:00:00";101,6;104,7
"2019-05-01 02:00:00";109,6;103,1
"2019-06-01 02:00:00";112;105
"2019-07-01 02:00:00";112,6;103
"2019-08-01 02:00:00";113,2;103,3
"2019-09-01 02:00:00";114,3;103,2
"2019-10-01 02:00:00";110,3;104,3