date, last_obs
2019-12-17, 2019M10
2020-01-20, 2019M11
2020-02-19, 2019M12
2020-03-18, 2020M01
2020-04-21, 2020M02
2020-05-20, 2020M03
2020-06-19, 2020M04
2020-07-20, 2020M05
2020-08-19, 2020M06
2020-09-15, 2020M07
2020-10-19, 2020M08
2020-11-19, 2020M09
2020-12-17, 2020M10
2021-01-18, 2020M11
2021-02-19, 2020M12
2021-03-18, 2021M1
2021-04-27, 2021M2
2021-05-20, 2021M3
2021-06-18, 2021M4
2021-07-19, 2021M5
2021-08-18, 2021M6
2021-09-20, 2021M7
2021-10-18, 2021M8
2021-11-19, 2021M9
2021-12-20, 2021M10
2022-01-18, 2021M11
2022-02-21, 2021M12
2022-03-18, 2022M1
2022-04-21, 2022M2
2022-05-17, 2022M3
2022-06-21, 2022M4
2022-07-19, 2022M5
2022-08-19, 2022M6
2022-09-19, 2022M7
2022-10-18, 2022M8
2022-11-21, 2022M9
2022-12-19, 2022M10
2023-01-19, 2022M11
2023-02-17, 2022M12
2023-03-21, 2023M1
2023-04-19, 2023M2
2023-05-17, 2023M3
2023-06-16, 2023M4
2023-07-19, 2023M5
2023-08-17, 2023M6
2023-09-19, 2023M7
2023-10-19, 2023M8
2023-11-16, 2023M9